,APP_NAME,SENSOR_SCORE,VISIBILITY,INTERNATIONALIZATION,KEYWORDS
9,Green the Planet 2,65,45,67,"['arcade', 'space', 'shooting', 'halo', 'pixel', 'family', 'dots', 'plant', 'friendly', 'shooter', 'earth', 'cute', 'odyssey', 'green', 'cf', 'pix', 'gogo', 'eco', 'casual', 'comet', '8bit', 'midway', 'cosmos', 'reloading', 'planting', 'planetarium', 'robbing', 'healing', '242', 'second', 'mame']"
0,Mini Shadow Ninja Assassin RPG,53,53,48,"['anime', 'ark', 'rpg', 'war', 'ninja', 'survival', 'shadow', 'assassin', 'raid', 'battle', 'legend', 'fighting', 'fight', 'hero', 'sword', 'clean', 'crush', 'odyssey', 'fantasy', 'blade', 'samurai', 'mini', 'master', 'arena', 'rov', 'mob', 'evil', 'combat', 'durango', 'death', 'overlord']"
1,Sketch.Book,78,74,55,"['procreate', 'coloring', 'books', 'photo', 'paint', 'pages', 'drawing', 'color', 'art', 'draw', 'sketchbook', 'sketch', 'kids', 'studio', 'painting', 'fingerhut', 'education', 'picture', 'doodle', 'scribble', 'create', 'autodesk', 'ibis', 'fresco', 'bazi', 'pencil', 'board', 'artist', 'sai', 'lab', 'artrage']"
2,ODY Upshot:Archery,5,40,37,"['archery', 'advertising', 'branding', 'anarchy', 'archetype', 'ody', 'upshot']"
3,ODY Upshot:Dragons,11,40,37,"['dragon', 'advertising', 'branding', 'ody', 'upshot', 'dragons']"
4,Adult Coloring Book,72,60,53,"['books', 'paint', 'pages', 'color', 'recipes', 'pigment', 'girl', 'entertainment', 'mandala', 'bazi', 'therapist', 'colorbook', 'den', 'decoration', 'gabby', 'alps', 'fer', 'colorblast', 'keynes', 'therapeutic', 'booklet', 'psychotherapy', 'entertaining', 'bookman', 'anticipate', 'adult', 'coloring', 'book', 'for', 'adults']"
7,The Odyssey Lite (Adventure),23,40,57,"['god', 'odyssey', 'greek', 'atlantis', 'mythology', 'raider', 'mythical', 'cyclops', 'mythos', 'mythological', 'the', 'lite', 'adventure', 'vs', 'odysseus']"
0,Dune!,85,64,61,"['doom', 'ballz', 'arcade', 'ios', 'fun', 'dune', 'ganes', 'rider', 'entertainment', 'transfer', 'slope', 'action', 'vortex', '99', 'pokey', 'chill', 'ballgame', 'casual', 'mobike', 'aerox', 'revive', 'midway', 'smooth', 'blaster', 'decoration', 'radical', 'original', 'gabby', 'fer', 'cassette', 'keynes']"
1,Twisty Road!,81,63,72,"['amaze', 'ballz', 'arcade', 'aa', 'dune', 'ganes', 'stripe', 'entertainment', 'bounce', 'action', 'spiral', 'vortex', 'road', 'meltdown', 'twist', 'path', 'glass', '99', 'splashy', 'fireball', 'break', 'pokey', 'ballgame', 'casual', 'aerox', 'midway', 'impossible', 'hard', 'glider', 'blaster', 'decoration']"
2,Smash Hit,87,78,83,"['music', 'psych', 'granny', 'ixl', 'math', 'sky', 'juegos', 'ballz', 'arcade', 'inside', 'dune', 'crash', 'fallout', 'ganes', 'peggle', 'entertainment', 'reflex', 'amerigo', 'gra', 'disc', 'action', 'physics', 'green', 'vortex', 'hit', 'glass', 'angry', '99', 'premium', 'fireball', 'netease']"
3,Helix Jump,96,70,75,"['juegos', 'ballz', 'arcade', 'dune', 'ganes', 'jump', 'slap', 'reach', 'tower', 'bounce', 'action', 'spiral', 'helix', 'vortex', 'bazi', 'roll', 'splashy', 'fireball', 'hex', 'pokey', 'casual', 'jumping', 'aerox', 'midway', 'glider', 'falling', 'bottom', 'decoration', 'radical', 'original', 'freefall']"
4,Paper.io 2,96,71,75,"['coloring', 'pages', 'drawing', 'color', 'draw', 'juegos', 'io', 'snake', 'feeld', 'arcade', 'multiplayer', 'fun', 'dune', 'scribble', 'area', 'bazi', 'shapr', 'casual', 'pap', 'multi', 'mobike', 'dibujo', 'midway', 'glider', 'smooth', 'droid', 'anaconda', 'territory', 'diversion', '242', 'second']"
5,Rolly Vortex,85,66,73,"['flo', 'ups', 'baseball', 'slides', 'doom', 'snake', 'ballz', 'quik', 'arcade', 'frag', 'dune', 'stack', 'ganes', 'jump', 'adventure', 'ff', 'fast', 'fire', 'helix', 'gameboy', 'vortex', 'bat', 'catch', '99', 'splashy', 'flappy', 'deer', 'hex', 'boy', 'pokey', 'pelota']"
6,Color Road!,90,69,74,"['coloring', 'gamestop', 'color', 'amaze', 'racing', 'juegos', 'ballz', 'arcade', 'race', 'dune', 'ganes', 'rush', 'slope', 'vortex', 'road', '99', 'splashy', 'fireball', 'pokey', 'ballgame', 'casual', 'aerox', 'midway', 'glider', 'colorado', 'blaster', 'decoration', 'radical', 'original', 'geisha', 'riseup']"
7,The Impossible Letter Game,74,64,42,"['word', 'puzzle', 'buzzfeed', 'aa', 'fun', 'dune', 'quiz', 'brain', 'ganes', 'rider', 'exercise', 'entertainment', 'smart', 'eyes', 'test', 'puzzledom', 'letters', 'bazi', 'meltdown', 'easy', 'challenge', 'extreme', 'addicted', 'impossible', 'chicktionary', 'exercising', 'decoration', 'thinking', 'implosion', 'gabby', 'brainstorming']"
8,Rolling Sky,92,71,88,"['music', 'uno', 'subway', 'piano', 'gamestop', 'voodoo', 'sky', 'tile', 'basketball', 'amaze', 'juegos', 'run', 'ballz', 'dune', 'ganes', 'bird', 'rush', 'minion', 'amerigo', '1111', 'slope', 'surf', 'fly', 'vortex', 'upgrade', 'pitfall', 'angry', '99', 'splashy', 'fireball', 'netease']"
9,Baseball Boy!,82,63,66,"['golf', 'baseball', 'home', 'squishy', 'run', 'doom', 'snake', 'arcade', 'sports', 'block', 'fingerhut', 'dune', 'ganes', 'ea', 'driver', 'knife', 'knight', 'gameboy', 'bazi', 'bat', 'hit', 'homerun', 'splashy', 'softball', 'boy', 'sausage', 'tsb', 'pelota', 'infinite', 'gf', 'finger']"
